公園代碼,公園名稱,縣市,鄉鎮市區,里別,面積,公園面積(公頃),類別,位置,使用分區,管理單位,所在鄉鎮,X座標,Y座標,TWD97X,TWD97Y,資料類型
1,羅東運動公園,宜蘭縣,羅東鎮,北成里,"416,401.84平方公尺",41.640184,大型公園綠地,羅東鎮北成里,特定農業區,宜蘭縣立體育場,羅東鎮,24.683041,121.753468,326250.45,2730880.734,公園
2,宜蘭運動公園,宜蘭縣,宜蘭市,建業里,"248,121.26 平方公尺 ",24.812126,大型公園綠地,宜蘭市中山路一段755號,體育場用地,宜蘭縣立體育場,宜蘭市,24.739158,121.754727,326343.63,2737097.168,公園
3,羅東鎮公一公園,宜蘭縣,羅東鎮,信義里,"7,332.59 平方公尺 ",0.733259,小型公園綠地,羅東鎮中華路189號,公園用地,羅東鎮公所,羅東鎮,24.67454,121.775821,328517.97,2729951.74,公園
4,羅東鎮公三公園,宜蘭縣,羅東鎮,南昌里,"6,029.28 平方公尺 ",0.602928,小型公園綠地,羅東鎮前南路1號,公園用地,羅東鎮公所,羅東鎮,24.669023,21.772553,328190.65,2729338.792,公園
5,羅東鎮公五公園,宜蘭縣,羅東鎮,樹林里,"5,068.13 平方公尺 ",0.506813,小型公園綠地,羅東鎮文林路130號,公園用地,羅東鎮公所,羅東鎮,24.683339,121.761438,327056.85,2730918.195,公園
6,羅東鎮公七公園,宜蘭縣,羅東鎮,東安里,"2,615.03平方公尺 ",0.261503,小型公園綠地,羅東鎮天祥路169號後方,公園用地,羅東鎮公所,羅東鎮,24.67454,121.775821,328517.97,2729951.74,公園
7,羅東鎮公九公園,宜蘭縣,羅東鎮,南豪里,"6,911.47 平方公尺 ",0.691147,小型公園綠地,羅東鎮興東南路(成功派出所對面),公園用地,羅東鎮公所,羅東鎮,24.669137,121.770271,327959.61,2729350.121,公園
8,樟仔園公園(11號公園),宜蘭縣,羅東鎮,漢民里,"5,329.08 平方公尺 ",0.532908,小型公園綠地,羅東鎮中山路四段82號,公園用地,羅東鎮公所,羅東鎮,24.674044,121.761851,327104.37,2729888.881,公園
9,培英路綠地,宜蘭縣,羅東鎮,國華里,952.79 平方公尺 ,0.095279,小型公園綠地,羅東鎮培英路139-131號對面,公園用地,羅東鎮公所,羅東鎮,24.6792,121.757837,326694.95,2730457.727,公園
10,鍾山新村綠地,宜蘭縣,羅東鎮,公正里,"1,517.32 平方公尺",0.151732,小型公園綠地,羅東鎮林森路與羅東國中間綠地,綠地,羅東鎮公所,羅東鎮,24.680992,121.76709,327630.31,2730661.419,公園
11,西安公園,宜蘭縣,羅東鎮,西安里,"13,526.64 平方公尺 ",1.352664,小型公園綠地,羅東鎮西安街468號前,特定農業區,羅東鎮公所,羅東鎮,24.666805,121.754124,326326.72,2729082.747,公園
12,公二公園(羅東鎮中山公園),宜蘭縣,羅東鎮,吉祥里,"19,533.23 平方公尺 ",1.953323,小型公園綠地,羅東鎮興東路、民權路、民生路、公園路環繞,公園用地,羅東鎮公所,羅東鎮,24.676666,121.769159,327842.39,2730183.428,公園
13,蘇澳鎮運動公園,宜蘭縣,蘇澳鎮,聖愛里,"46,065.35 平方公尺 ",4.606535,大型公園綠地,宜蘭縣蘇澳鎮聖愛路56號 ,體育用地,蘇澳鎮公所,蘇澳鎮,24.599709,121.835313,334589.58,2721698.491,公園
14,南方澳北濱公園,宜蘭縣,蘇澳鎮,南建里,"14,958.86 平方公尺 ",1.495886,大型公園綠地,宜蘭縣蘇澳鎮學府路(南安國中旁),森林區,蘇澳鎮公所,蘇澳鎮,24.576826,121.869701,338088.13,2719185.447,公園
15,宜蘭河濱公園,宜蘭縣,宜蘭市,孝廉里,"181,018.66 平方公尺 ",18.101866,大型公園綠地,宜蘭市環河東路,河川用地,宜蘭市公所,宜蘭市,24.764877,121.756326,326489.64,2739946.811,公園
16,礁溪湯圍溝公園,宜蘭縣,礁溪鄉,德陽村,"7,820.04 平方公尺 ",0.782004,大型公園綠地,礁溪鄉德陽路99-11號,公園用地,宜蘭縣政府,礁溪鄉,24.82855,121.770014,327834.25,2747007.296,公園
17,礁溪溫泉公園,宜蘭縣,礁溪鄉,玉石村,"39,811.93 平方公尺",3.981193,大型公園綠地,礁溪鄉公園路16號,公園用地,宜蘭縣政府,礁溪鄉,24.831306,121.776573,328495.53,2747316.325,公園
18,龍潭湖風景區,宜蘭縣,礁溪鄉,龍潭村,"248,454.85 平方公尺 ",24.845485,大型公園綠地,宜蘭縣礁溪鄉龍潭村環湖路1號 ,公園用地,宜蘭縣政府,礁溪鄉,24.792055,121.740184,324840.79,2742948.239,公園
19,親水公園,宜蘭縣,五結鄉,協和村,"187,430.18 平方公尺",18.743018,大型公園綠地,宜蘭縣五結鄉親河路二段2號,風景區,宜蘭縣政府,五結鄉,24.672229,121.81227,332208.51,2729717.108,公園
20,清水地熱公園,宜蘭縣,大同鄉,復興村,"30,470.42 平方公尺 ",3.047042,大型公園綠地,大同鄉三星路8段501巷150號,森林區,宜蘭縣政府,大同鄉,24.611909,121.637127,314513.01,2722942.408,公園
21,地景廣場,宜蘭縣,礁溪鄉,德陽村,"1,407.96 平方公尺 ",0.140796,小型公園綠地,礁溪鄉中山路二段201號,停車場用地,礁溪鄉公所,礁溪鄉,24.828722,121.775814,328420.44,2747029.669,公園
22,溫泉廣場,宜蘭縣,礁溪鄉,德陽村,"1,724.53 平方公尺 ",0.172453,小型公園綠地,礁溪鄉溫泉路、礁溪路交叉口,廣場用地,礁溪鄉公所,礁溪鄉,24.828743,121.773659,328202.58,2747030.759,公園
23,水景廣場,宜蘭縣,礁溪鄉,大忠村,"2,824.60 平方公尺 ",0.28246,小型公園綠地,礁溪鄉礁溪路五段1號,停車場用地,礁溪鄉公所,礁溪鄉,24.824657,121.770713,327907.34,2746576.484,公園
24,迎賓廣場,宜蘭縣,礁溪鄉,德陽村,"1,674.17 平方公尺 ",0.167417,小型公園綠地,礁溪鄉礁溪路五段旁,溝渠用地間廣場用地,礁溪鄉公所,礁溪鄉,24.829128,121.776116,328450.71,2747074.814,公園
25,三星公園(洛克馬公園),宜蘭縣,三星鄉,義德村,"3,483.87 平方公尺 ",0.348387,小型公園綠地,三星鄉義德路附近(三星鄉老人文康中心旁邊),公園兼兒童遊樂場用地,三星鄉公所,三星鄉,24.667909,121.65118,315906.61,2729151.696,公園
26,鄉村公園,宜蘭縣,五結鄉,五結村,"2,630.76 平方公尺 ",0.263076,小型公園綠地,五結鄉宜24鄉道55-27對面(中興路一段至東接五結中路二段沿五結排水幹線),公園用地,五結鄉公所,五結鄉,24.687608,121.796093,330561.31,2731410.956,公園
27,五結鄉鄰閭公園,宜蘭縣,五結鄉,協和村,760.50 平方公尺 ,0.07605,小型公園綠地,五結鄉協和村親河路1段180巷5弄7號對面,一般農業區,五結鄉公所,五結鄉,24.6689,121.817888,332779.32,2729351.751,公園
28,五結鄉舊河道第二期,宜蘭縣,五結鄉,季新村 ,"7,637.10 平方公尺 ",0.76371,小型公園綠地,五結鄉立利澤幼兒園旁,一般農業區,五結鄉公所,五結鄉,24.66936,121.824441,333442.28,2729406.67,公園
29,五結鄉溪濱公園,宜蘭縣,五結鄉,鎮安村,"64,526.63 平方公尺 ",6.452663,大型公園綠地,安村溪濱路三段323號對面,河川用地,五結鄉公所,五結鄉,24.711205,121.768705,327774.99,2734008.842,公園
30,宜蘭市中山公園,宜蘭縣,宜蘭市,神農里,"22,579.69 平方公尺 ",2.257969,大型公園綠地,宜蘭市神農里16鄰中山路二段482號,公園用地,宜蘭市公所,宜蘭市,24.754367,121.754334,326294.59,2738781.564,公園
31,冬山鄉鄉政公園,宜蘭縣,冬山鄉,南興村,"14,642.79 平方公尺",1.464279,大型公園綠地,冬山鄉冬山路98號後面,公園用地,冬山鄉公所,冬山鄉,24.633872,121.794051,330389.08,2725457.756,公園
32,頭城運動公園,宜蘭縣,頭城鎮,武營里 ,"31,654.71 平方公尺",3.165471,大型公園綠地,頭城鎮開蘭橋邊,學校用地,頭城鎮公所,頭城鎮,24.86375,121.823892,333257,2750938.106,公園
33,員山公園,宜蘭縣,員山鄉,員山村,"38,986.10 平方公尺 ",3.89861,大型公園綠地,264宜蘭縣員山鄉復興路12-18對面,公園用地,員山鄉公所,員山鄉,24.744609,121.722998,323130.81,2737683.619,公園
